Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IDN,2019,SG.LAW.INDX,64.4
IDN,2018,SG.LAW.INDX,64.4
IDN,2017,SG.LAW.INDX,64.4
IDN,2016,SG.LAW.INDX,64.4
IDN,2015,SG.LAW.INDX,64.4
IDN,2014,SG.LAW.INDX,64.4
IDN,2013,SG.LAW.INDX,64.4
IDN,2012,SG.LAW.INDX,64.4
IDN,2011,SG.LAW.INDX,64.4
IDN,2010,SG.LAW.INDX,64.4
IDN,2009,SG.LAW.INDX,64.4
IDN,2008,SG.LAW.INDX,64.4
IDN,2007,SG.LAW.INDX,64.4
IDN,2006,SG.LAW.INDX,64.4
IDN,2005,SG.LAW.INDX,61.9
IDN,2004,SG.LAW.INDX,59.4
IDN,2003,SG.LAW.INDX,53.1
IDN,2002,SG.LAW.INDX,53.1
IDN,2001,SG.LAW.INDX,53.1
IDN,2000,SG.LAW.INDX,53.1
IDN,1999,SG.LAW.INDX,53.1
IDN,1998,SG.LAW.INDX,50.6
IDN,1997,SG.LAW.INDX,50.6
IDN,1996,SG.LAW.INDX,50.6
IDN,1995,SG.LAW.INDX,50.6
IDN,1994,SG.LAW.INDX,50.6
IDN,1993,SG.LAW.INDX,50.6
IDN,1992,SG.LAW.INDX,50.6
IDN,1991,SG.LAW.INDX,50.6
IDN,1990,SG.LAW.INDX,50.6
IDN,1989,SG.LAW.INDX,50.6
IDN,1988,SG.LAW.INDX,50.6
IDN,1987,SG.LAW.INDX,50.6
IDN,1986,SG.LAW.INDX,50.6
IDN,1985,SG.LAW.INDX,50.6
IDN,1984,SG.LAW.INDX,50.6
IDN,1983,SG.LAW.INDX,50.6
IDN,1982,SG.LAW.INDX,50.6
IDN,1981,SG.LAW.INDX,50.6
IDN,1980,SG.LAW.INDX,50.6
IDN,1979,SG.LAW.INDX,50.6
IDN,1978,SG.LAW.INDX,50.6
IDN,1977,SG.LAW.INDX,44.4
IDN,1976,SG.LAW.INDX,44.4
IDN,1975,SG.LAW.INDX,44.4
IDN,1974,SG.LAW.INDX,23.8
IDN,1973,SG.LAW.INDX,23.8
IDN,1972,SG.LAW.INDX,23.8
IDN,1971,SG.LAW.INDX,23.8
IDN,2017,SH.MMR.RISK,240
IDN,2016,SH.MMR.RISK,230
IDN,2015,SH.MMR.RISK,220
IDN,2014,SH.MMR.RISK,200
IDN,2013,SH.MMR.RISK,190
IDN,2012,SH.MMR.RISK,190
IDN,2011,SH.MMR.RISK,180
IDN,2010,SH.MMR.RISK,170
IDN,2009,SH.MMR.RISK,160
IDN,2008,SH.MMR.RISK,160
IDN,2007,SH.MMR.RISK,160
IDN,2006,SH.MMR.RISK,150
IDN,2005,SH.MMR.RISK,150
IDN,2004,SH.MMR.RISK,140
IDN,2003,SH.MMR.RISK,140
IDN,2002,SH.MMR.RISK,140
IDN,2001,SH.MMR.RISK,140
IDN,2000,SH.MMR.RISK,140
IDN,2017,SH.STA.MMRT,177
IDN,2016,SH.STA.MMRT,184
IDN,2015,SH.STA.MMRT,192
IDN,2014,SH.STA.MMRT,199
IDN,2013,SH.STA.MMRT,207
IDN,2012,SH.STA.MMRT,214
IDN,2011,SH.STA.MMRT,221
IDN,2010,SH.STA.MMRT,228
IDN,2009,SH.STA.MMRT,234
IDN,2008,SH.STA.MMRT,239
IDN,2007,SH.STA.MMRT,243
IDN,2006,SH.STA.MMRT,249
IDN,2005,SH.STA.MMRT,252
IDN,2004,SH.STA.MMRT,264
IDN,2003,SH.STA.MMRT,261
IDN,2002,SH.STA.MMRT,265
IDN,2001,SH.STA.MMRT,269
IDN,2000,SH.STA.MMRT,272
